ID,Form,1st reduction,2nd reduction,trial,duration,3D deviation,XY deviation,XY directed,Z deviation,Z directed,Z std deviation 
1,circle,virtual,line,1,6291.26000977,10.8774226577,5.39456505672,1.00473993602,8.19694062118,8.1428058247,7.47321679533
1,circle,virtual,line,2,4419.73999023,13.9962898953,9.03674245039,-3.67475063123,9.65831989909,9.30615606086,7.57137998807
1,circle,virtual,line,3,7070.55004883,34.6474583139,27.1197676115,18.8436948682,16.3972043355,15.888222188,11.0805984472
1,circle,virtual,line,4,5209.30004883,11.6549074898,8.65080216979,-7.22948798329,7.00151300323,2.84019866258,3.95687685355
1,circle,virtual,line,5,4249.08007812,12.1914388054,9.04995204547,-6.68987585237,7.56980564791,2.05705116721,4.72987230239
1,square,virtual,line,1,5569.12988281,10.0976726071,6.14382775229,5.61599136629,6.46500501311,-5.71975934318,5.22852387138
1,square,virtual,line,2,6649.70996094,20.4312727105,12.1332073777,10.0860056853,13.9102098444,-13.9102098444,9.4919080434
1,square,virtual,line,3,6289.60986328,18.0075588387,14.1202126684,10.2765958656,9.84672612394,-9.84672612394,6.44732194474
1,square,virtual,line,4,9771.39013672,22.4716892627,17.6743432036,14.4897969321,11.7349502394,-11.7322891235,8.30520030354
1,square,virtual,line,5,7010.85986328,11.7967602665,5.80488446516,4.87542640033,8.62183557867,-8.38053426219,7.1812822803
1,circle,virtual,nothing,1,5569.29003906,12.5856630626,9.15625041252,6.25256309483,6.23448142586,-4.96440179846,4.72010450001
1,circle,virtual,nothing,2,4180.62988281,11.7082763773,7.88944106402,4.60235880169,7.30259883486,-3.8752693264,5.71081142691
1,circle,virtual,nothing,3,3580.45996094,13.3640814852,7.87088288209,4.57493307446,9.33343860081,-9.33343860081,7.03778264089
1,circle,virtual,nothing,4,5320.93994141,24.8518684749,20.6040388213,12.4388474003,10.83983451,-10.1023713684,7.60097329197
1,circle,virtual,nothing,5,8380.61987305,24.3642328602,19.1675606937,16.4324455452,11.4971070353,-5.07658125136,8.59134924728
1,square,virtual,nothing,1,4011.33007812,11.8468637599,11.1241392701,11.1241392701,3.18551931045,-2.92682248284,2.52031561618
1,square,virtual,nothing,2,3470.47998047,19.0947193469,11.1721818025,11.1721818025,13.2631884839,-13.2631884839,8.31536917319
1,square,virtual,nothing,3,3719.52001953,17.7077846877,12.6216830253,12.6216830253,9.1925874256,-4.27332458496,7.51460174647
1,square,virtual,nothing,4,3050.76000977,16.4878005443,10.1864286763,10.1775978883,10.9283624013,-7.2275201525,9.24656097762
1,square,virtual,nothing,5,3709.91015625,17.340879401,13.9054162633,13.8868802993,6.6890923444,2.28526969461,3.84792035246
1,circle,virtual,convex,1,4609.87988281,31.8841596126,20.3517009713,7.36963715828,22.8872889261,22.8872889261,8.02518921361
1,circle,virtual,convex,2,5690.80981445,32.1477468049,22.7080846203,16.3014488468,16.4149042664,15.9897806498,12.989443678
1,circle,virtual,convex,3,3589.79003906,13.2800222936,8.99026578497,7.3328641012,8.62969776899,1.84044748065,3.7739849507
1,circle,virtual,convex,4,2331.08007812,14.7392124063,11.0845004683,8.28617401911,7.95720509785,4.13559824316,3.71635901346
1,circle,virtual,convex,5,3349.5,12.53312106,6.7960298434,-0.512969228074,9.15704657162,-4.3603276421,7.11663838563
1,square,virtual,convex,1,10740.0100098,25.2360574831,18.5685222019,13.8731802624,15.3152379658,14.4813020374,7.81736760173
1,square,virtual,convex,2,3530.59008789,12.8269075719,7.85910963461,5.93286350609,8.27117683943,7.91446336258,4.55734022828
1,square,virtual,convex,3,3349.88989258,12.1699838446,8.76602324771,4.14519282851,6.81915706859,5.65753283332,4.06431286478
1,square,virtual,convex,4,3769.68994141,12.5280522682,9.40202485807,8.07113258796,5.74863900473,1.57485500602,3.3242415602
1,square,virtual,convex,5,4071.07006836,15.283892897,12.3630168422,9.9461233633,5.90817376499,1.79838319976,3.34539729582
