UserID,Integration,Setup,Attention,Difficulty,Task,AvgRMStot,AvgRMSlh,AvgRMSrh,AvgParallelism,AvgRMStot (cm),AvgParallelism (cm),Hand,AvgRMS (cm)
1,Separated,Leap2D,Singular,Slow,1,0.97668149,0.4999,0.47678149,0.50184035,0.9083137864,0.4667115235,LH,0.4649069967
1,Separated,Leap2D,Singular,Slow,1,0.97668149,0.4999,0.47678149,0.50184035,0.9083137864,0.4667115235,RH,0.4434067896
1,Separated,Leap2D,Divided,Slow,2,1.47348673,0.68136782,0.79211891,0.43385978,1.3703426606,0.4034895952,LH,0.6336720707
1,Separated,Leap2D,Divided,Slow,2,1.47348673,0.68136782,0.79211891,0.43385978,1.3703426606,0.4034895952,RH,0.7366705898
1,Separated,Leap2D,Singular,Fast,3,1.76209457,0.89403773,0.86805684,0.53727898,1.6387479537,0.4996694536,LH,0.8314550903
1,Separated,Leap2D,Singular,Fast,3,1.76209457,0.89403773,0.86805684,0.53727898,1.6387479537,0.4996694536,RH,0.8072928633
1,Separated,Leap2D,Divided,Fast,4,1.95240576,1.0102734,0.94213236,0.46682538,1.8157373558,0.4341476046,LH,0.939554261
1,Separated,Leap2D,Divided,Fast,4,1.95240576,1.0102734,0.94213236,0.46682538,1.8157373558,0.4341476046,RH,0.8761830948
1,Separated,Leap3D,Singular,Slow,1,1.31550797,0.63184587,0.6836621,0.50340466,1.2234224075,0.46816633,LH,0.587616658
1,Separated,Leap3D,Singular,Slow,1,1.31550797,0.63184587,0.6836621,0.50340466,1.2234224075,0.46816633,RH,0.6358057495
1,Separated,Leap3D,Divided,Slow,2,1.71226181,1.15470585,0.55755596,0.37301768,1.5924034824,0.3469064461,LH,1.0738764412
1,Separated,Leap3D,Divided,Slow,2,1.71226181,1.15470585,0.55755596,0.37301768,1.5924034824,0.3469064461,RH,0.5185270411
1,Separated,Leap3D,Singular,Fast,3,2.53047898,1.32672251,1.20375648,0.54178403,2.3533454542,0.5038591512,LH,1.2338519299
1,Separated,Leap3D,Singular,Fast,3,2.53047898,1.32672251,1.20375648,0.54178403,2.3533454542,0.5038591512,RH,1.1194935244
1,Separated,Leap3D,Divided,Fast,4,2.99100636,1.79922254,1.19178382,0.38902355,2.7816359165,0.3617919016,LH,1.6732769646
1,Separated,Leap3D,Divided,Fast,4,2.99100636,1.79922254,1.19178382,0.38902355,2.7816359165,0.3617919016,RH,1.1083589519
1,Separated,Touch2D,Singular,Slow,1,0.59831766,0.31231846,0.2859992,0.47958135,0.5564354271,0.4460106533,LH,0.2904561666
1,Separated,Touch2D,Singular,Slow,1,0.59831766,0.31231846,0.2859992,0.47958135,0.5564354271,0.4460106533,RH,0.2659792606
1,Separated,Touch2D,Divided,Slow,2,0.62968154,0.33138188,0.29829966,0.45050577,0.585603836,0.4189703627,LH,0.3081851519
1,Separated,Touch2D,Divided,Slow,2,0.62968154,0.33138188,0.29829966,0.45050577,0.585603836,0.4189703627,RH,0.2774186841
1,Separated,Touch2D,Singular,Fast,3,1.09771904,0.56616559,0.53155345,0.52158399,1.0208787037,0.4850731126,LH,0.5265339959
1,Separated,Touch2D,Singular,Fast,3,1.09771904,0.56616559,0.53155345,0.52158399,1.0208787037,0.4850731126,RH,0.4943447078
1,Separated,Touch2D,Divided,Fast,4,1.37441453,0.70479947,0.66961505,0.48250403,1.2782055093,0.4487287492,LH,0.6554635105
1,Separated,Touch2D,Divided,Fast,4,1.37441453,0.70479947,0.66961505,0.48250403,1.2782055093,0.4487287492,RH,0.6227419987
2,Separated,Leap2D,Singular,Slow,1,0.98454966,0.48582348,0.49872617,0.47350371,0.9156311798,0.4403584504,LH,0.4518158371
2,Separated,Leap2D,Singular,Slow,1,0.98454966,0.48582348,0.49872617,0.47350371,0.9156311798,0.4403584504,RH,0.4638153427
2,Separated,Leap2D,Divided,Slow,2,0.86051491,0.4957788,0.36473611,0.45441165,0.8002788706,0.4226028315,LH,0.4610742873
2,Separated,Leap2D,Divided,Slow,2,0.86051491,0.4957788,0.36473611,0.45441165,0.8002788706,0.4226028315,RH,0.3392045832
2,Separated,Leap2D,Singular,Fast,3,1.85280139,0.96728217,0.88551922,0.53970223,1.723105296,0.5019230707,LH,0.8995724215
2,Separated,Leap2D,Singular,Fast,3,1.85280139,0.96728217,0.88551922,0.53970223,1.723105296,0.5019230707,RH,0.8235328745
2,Separated,Leap2D,Divided,Fast,4,1.68749199,0.87382404,0.81366795,0.49385559,1.5693675521,0.4592856963,LH,0.8126563597
2,Separated,Leap2D,Divided,Fast,4,1.68749199,0.87382404,0.81366795,0.49385559,1.5693675521,0.4592856963,RH,0.7567111924
2,Separated,Leap3D,Singular,Slow,1,1.34415121,0.7051806,0.6389706,0.48697618,1.2500606214,0.4528878435,LH,0.6558179593
2,Separated,Leap3D,Singular,Slow,1,1.34415121,0.7051806,0.6389706,0.48697618,1.2500606214,0.4528878435,RH,0.5942426621
2,Separated,Leap3D,Divided,Slow,2,1.7173601,0.96527403,0.75208607,0.39120353,1.5971448939,0.3638192816,LH,0.8977048451
2,Separated,Leap3D,Divided,Slow,2,1.7173601,0.96527403,0.75208607,0.39120353,1.5971448939,0.3638192816,RH,0.6994400488
2,Separated,Leap3D,Singular,Fast,3,2.88024009,1.46657268,1.41366741,0.57003496,2.6786232869,0.5301325136,LH,1.3639125937
2,Separated,Leap3D,Singular,Fast,3,2.88024009,1.46657268,1.41366741,0.57003496,2.6786232869,0.5301325136,RH,1.3147106932
2,Separated,Leap3D,Divided,Fast,4,2.98692726,1.7341203,1.25280696,0.47260175,2.777842353,0.4395196269,LH,1.612731881
2,Separated,Leap3D,Divided,Fast,4,2.98692726,1.7341203,1.25280696,0.47260175,2.777842353,0.4395196269,RH,1.1651104721
2,Separated,Touch2D,Singular,Slow,1,0.62704136,0.31475403,0.31228733,0.42048471,0.5831484655,0.3910507803,LH,0.2927212473
2,Separated,Touch2D,Singular,Slow,1,0.62704136,0.31475403,0.31228733,0.42048471,0.5831484655,0.3910507803,RH,0.2904272181
2,Separated,Touch2D,Divided,Slow,2,0.71403744,0.36758367,0.34645378,0.44865687,0.664054822,0.4172508879,LH,0.3418528085
2,Separated,Touch2D,Divided,Slow,2,0.71403744,0.36758367,0.34645378,0.44865687,0.664054822,0.4172508879,RH,0.3222020134
2,Separated,Touch2D,Singular,Fast,3,1.20475146,0.61881777,0.58593369,0.57264398,1.1204188612,0.5325588978,LH,0.5755005289
2,Separated,Touch2D,Singular,Fast,3,1.20475146,0.61881777,0.58593369,0.57264398,1.1204188612,0.5325588978,RH,0.5449183324
2,Separated,Touch2D,Divided,Fast,4,1.57811321,0.84105192,0.73706129,0.4629404,1.4676452814,0.4305345738,LH,0.7821782844
2,Separated,Touch2D,Divided,Fast,4,1.57811321,0.84105192,0.73706129,0.4629404,1.4676452814,0.4305345738,RH,0.685466997
3,Separated,Leap2D,Singular,Slow,1,0.74764542,0.37812394,0.36952148,0.48423756,0.6953102417,0.4503409289,LH,0.3516552635
3,Separated,Leap2D,Singular,Slow,1,0.74764542,0.37812394,0.36952148,0.48423756,0.6953102417,0.4503409289,RH,0.3436549783
3,Separated,Leap2D,Divided,Slow,2,0.99308492,0.54444179,0.44864313,0.433741,0.9235689733,0.4033791322,LH,0.5063308646
3,Separated,Leap2D,Divided,Slow,2,0.99308492,0.54444179,0.44864313,0.433741,0.9235689733,0.4033791322,RH,0.4172381087
